,score
35698,134
553,6
16543,2
4157,15
4216,2
29953,1
33481,0
33099,7
24850,0
19293,8
17482,8
22837,32
17901,0
19419,0
21203,73
16859,1
3581,1
2193,4
21202,211
9280,1
30709,2
28827,2
29573,1
35690,0
24030,21
28337,9
2444,2
8488,3
6041,4
25125,11
1647,1
5235,12
32171,2
12176,5
36335,6
30010,11
34187,12
27756,11
10727,0
16055,0
25974,24
8396,13
36361,8
33639,0
5244,3
15390,3
34301,9
19411,11
15837,0
7872,0
22502,43
9035,29
10511,606
19302,357
3876,2
35454,6
28243,345
5960,8
1980,14
34048,2
22166,685
15772,1
13550,2
16751,2
29747,0
22495,0
24801,1928
29090,0
4591,72
18339,4
27583,9
12191,4
3142,1
33033,9
9489,4
26316,14
20286,231
16143,3
1718,17
34471,40
27899,8
8448,1
31392,1
4757,56
18026,4
33054,3
2942,2
29536,0
11259,14
6627,6
11697,2
26905,29
17483,1
16202,8
12569,19
28326,16
33327,49
2335,14
2127,10
20644,412
18707,3
19341,7
31844,1
28407,21
31533,1
15742,5
17611,1
28385,2
10453,3
29991,10
24068,13
14534,10
8264,2
8091,1
29003,0
31135,2
22202,19
35002,8
21172,1
1249,2
2409,7
21620,33
14727,69
19138,16
15352,4
21072,64
20440,7
3633,8
34578,21
573,2
12244,2
10005,285
29743,0
25326,384
5763,12
10198,2
12322,12
36523,0
1635,1
12021,0
24291,433
23617,5
33627,3
7305,7
4730,17
17916,1
33626,0
31913,0
22007,56
22694,701
24445,0
16505,2
11156,249
36347,0
2866,309
32992,2
8102,1
34312,2
22407,54
5842,1
22554,0
5427,2
26167,16
10699,6
15058,0
26625,5
34001,2
11653,297
12915,3
2092,8
21069,2
15361,3
32120,24
21785,120
22471,15
27892,9
14086,3
32575,2
36538,14
30596,30
262,41
29045,1
367,2
35820,2
12246,10
1004,6
8832,1
15938,2
20300,15
17700,4
12389,21
26908,13
9825,12
29337,5
21898,0
2509,0
654,5
29879,0
18806,2
22131,8
21648,155
34671,17
26391,0
1651,261
17605,5
10769,9
13724,0
23605,17
32008,2
36330,1678
12470,0
17129,2
14927,4
1971,7
13584,250
18013,2
972,1
31298,3
19815,0
28308,42
23513,3
13506,2
27190,0
11870,12
9434,3
25572,10
33100,16
3643,3
1956,9
17598,7
6288,4
22160,153
11791,8
26874,2
16443,2
25019,49
21075,159
16193,2
23651,128
25200,8
9040,6
32456,1
21623,36
34478,4
15322,3
32175,2
2633,3
6030,10
10352,1
27964,6
623,24
12250,140
6718,0
16758,7
6933,1
15078,1
31820,48
23900,1592
13199,53
11601,13
17822,1
14275,64
28795,0
14178,0
6610,4
16440,1
33280,0
7035,1
14004,1
25700,24
22939,8
36506,2
15202,3
5684,22
4538,217
35513,6
33025,4
36128,2
32048,3
29579,1
20212,28
14733,19
7580,0
32123,73
15866,0
3332,3
9306,2
2078,2
495,12
17236,1
20421,8
6625,2
17441,1
21715,0
1451,40
33675,46
26114,17
29165,0
3191,76
2194,24
25474,16
19038,151
3823,36
35979,19
20205,39
3324,21
11234,23
21858,28
2343,21
34088,39
10284,428
20409,89
35641,13
10779,10
21295,14
11801,3
